date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
20241101 - 20241130,Ahmedabad-Gandhinagar,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,2,212,186.98
20241101 - 20241130,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,12,1908,1788
20241101 - 20241130,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,8,1352,1180.2
20241101 - 20241130,Hyderabad,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,7,833,676.61
20241101 - 20241130,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,8,1352,1172.86
20241101 - 20241130,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,26,4914,4443.25
20241101 - 20241130,Chennai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,11,1166,967.78
20241101 - 20241130,Hyderabad,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,18,2142,1716.21
20241101 - 20241130,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,7,1463,1348.5
20241101 - 20241130,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,54,10206,9260.65
20241101 - 20241130,Pune,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,10,1680,1604.4
20241101 - 20241130,Pune,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,9,1350,1269
20241101 - 20241130,Bangalore Rural,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,1,168,134.4
20241101 - 20241130,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,3,597,447
20241101 - 20241130,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,5,1875,1687.5
20241101 - 20241130,Bangalore,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,48958500,Jaldhara green-summer-gift-box-set-with-summer-snacks 1 pc,1 pc,1,1599,1499
20241101 - 20241130,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,8,1672,1589.75
20241101 - 20241130,Chennai,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,7,1302,1236.9
20241101 - 20241130,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,48,8112,7212.35
20241101 - 20241130,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,9,1791,1161
20241101 - 20241130,Hyderabad,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,26,7774,6906.9
20241101 - 20241130,Mumbai,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,16,5264,4464
20241101 - 20241130,Ahmedabad-Gandhinagar,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,3,570,549.1
20241101 - 20241130,Kozhikode,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,1,199,129
20241201 - 20241230,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,14,2586,2371.2
20241201 - 20241230,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,4,756,642.6
20241201 - 20241230,Gurgaon,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,3,987,937.65
20241201 - 20241230,Nashik,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,1,299,269.1
20241201 - 20241230,Mumbai,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,13,4277,3948
20241201 - 20241230,Ahmedabad-Gandhinagar,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,3,570,539.6
20241201 - 20241230,Hyderabad,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,36,10764,10046.4
20241201 - 20241230,Gurgaon,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,11,1309,1249.5
20241201 - 20241230,Chennai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,4,424,408.1
20241201 - 20241230,Pune,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,9,1674,1618.2
20241201 - 20241230,Ahmedabad-Gandhinagar,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,8,1600,1510
20241201 - 20241230,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,17,2873,2535
20241201 - 20241230,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,20,3780,3354.75
20241201 - 20241230,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,17,2873,2543.45
20241201 - 20241230,Pune,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,47879658,Jaldhara pink-summer-gift-box-set-with-summer-snacks 1 pc  (Set of 5),5 pcs,1,999,949.05
20241201 - 20241230,Gurgaon,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,12,2508,2382.6
20241201 - 20241230,Bangalore,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,33,3927,3611.65
20241201 - 20241230,Mumbai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,21,2499,2314.55
20241201 - 20241230,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,7,1463,1306.25
20241201 - 20241230,Chennai,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,10,2297,2227
20241201 - 20241230,Pune,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,1,106,106
20241201 - 20241230,Vijayawada-Guntur,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,2,358,342.1
20241201 - 20241230,Bangalore,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,58,12122,11589.05
20241201 - 20241230,Bangalore,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,3,1947,1849.65
20241201 - 20241230,Bangalore Rural,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,1,168,168
20241201 - 20241230,Pune,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,4,600,585
20241201 - 20241230,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,17,2703,2464.5
20241201 - 20241230,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,2,318,302.1
20241201 - 20241230,Hyderabad,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,9,1071,928.2
20241201 - 20241230,Mangaluru,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,2,398,338.3
20241201 - 20241230,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,13,2717,2372.15
20241201 - 20241230,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,1,375,300
20241201 - 20241230,Mumbai,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,47879658,Jaldhara pink-summer-gift-box-set-with-summer-snacks 1 pc  (Set of 5),5 pcs,1,999,949.05
20241201 - 20241230,Hyderabad,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,27,5643,5298.15
20241201 - 20241230,Mumbai,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,33,9867,9269
20241201 - 20241230,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,5,750,727.5
20241201 - 20241230,Coimbatore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,1,199,199
20241201 - 20241230,Gurgaon,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,5,3245,3147.65
20241201 - 20241230,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43635493,Jaldhara drink-mix-nimbu-shikanji-premium-flavoured 90 g,90 g,3,567,516.3
20241201 - 20241230,Noida,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,1,649,649
20241201 - 20241230,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,13,2197,2137.85
20241201 - 20241230,Mumbai,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,20,4180,4148.65
20241201 - 20241230,Mumbai,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,2,1298,1233.1
20241201 - 20241230,Ahmedabad-Gandhinagar,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,1,649,551.65
20241201 - 20241230,Pune,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,10,2000,1930
20241201 - 20241230,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,318.75
20241201 - 20241230,Bangalore,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,29,3451,3201.1
20241201 - 20241230,Coimbatore,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,1,119,119
20241201 - 20241230,Gurgaon,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,48958500,Jaldhara green-summer-gift-box-set-with-summer-snacks 1 pc,1 pc,1,1599,1439
20241201 - 20241230,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,1,375,281.25
20241201 - 20241230,Mumbai,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,48958500,Jaldhara green-summer-gift-box-set-with-summer-snacks 1 pc,1 pc,1,1599,1519
20241201 - 20241230,Hyderabad,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,22,7238,6366.15
20241201 - 20241230,Pune,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,10,1900,1871.5
20241201 - 20241230,Pune,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,48958500,Jaldhara green-summer-gift-box-set-with-summer-snacks 1 pc,1 pc,2,3198,2878
20241201 - 20241230,Bangalore,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,48958500,Jaldhara green-summer-gift-box-set-with-summer-snacks 1 pc,1 pc,1,1599,1519
20241201 - 20241230,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,8,1672,1609.3
20241201 - 20241230,Chennai,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,7,1302,1255.5
20241201 - 20241230,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,7,1273,1165.6
20241201 - 20241230,Pune,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,4,424,418.7
20241201 - 20241230,Mysore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43635493,Jaldhara drink-mix-nimbu-shikanji-premium-flavoured 90 g,90 g,1,199,199
20241201 - 20241230,Gurgaon,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,10,2990,2840.5
20241201 - 20241230,Hyderabad,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,24,2856,2635.85
20241201 - 20241230,Chennai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,7,742,715.5
20241201 - 20241230,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,8,1672,1515.25
20241201 - 20241230,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,41,7749,7427.7
20241201 - 20241230,Pune,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,3,504,487.2
20241201 - 20241230,Gurgaon,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,47879658,Jaldhara pink-summer-gift-box-set-with-summer-snacks 1 pc  (Set of 5),5 pcs,1,999,949.05
20241201 - 20241230,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,6,1194,1054.7
20241201 - 20241230,Pune,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,1,649,649
20241201 - 20241230,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,39,6591,6092.45
20241201 - 20241230,Visakhapatnam,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,1,199,149.25
20241201 - 20241230,Mumbai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,36,4284,3730.65
20241201 - 20241230,Chennai,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,10,1900,1843
20241201 - 20241230,Mysore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,1,199,199
20241201 - 20241230,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,13,2457,2353.05
20241201 - 20241230,Bangalore,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,43,14147,13324.5
20241201 - 20241230,Gurgaon,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,6,714,696.15
20241201 - 20241230,Bangalore,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,67,20033,18822.05
20241201 - 20241230,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,8,1344,1293.6
20241201 - 20241230,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,3,1125,1068.75
20250101 - 20250131,Gurgaon,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,3,1947,1711.67
20250101 - 20250131,Chennai,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,1,649,551.65
20250101 - 20250131,Noida,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,6,1116,1012
20250101 - 20250131,Noida,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,1,649,551.65
20250101 - 20250131,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43635493,Jaldhara drink-mix-nimbu-shikanji-premium-flavoured 90 g,90 g,3,567,417.6
20250101 - 20250131,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,30,4975,4398.65
20250101 - 20250131,Mumbai,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,48958500,Jaldhara green-summer-gift-box-set-with-summer-snacks 1 pc,1 pc,1,1599,1439
20250101 - 20250131,Hyderabad,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,15,4935,4214.89
20250101 - 20250131,Pune,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,5,950,830.42
20250101 - 20250131,Bangalore Rural,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43635493,Jaldhara drink-mix-nimbu-shikanji-premium-flavoured 90 g,90 g,1,169,169
20250101 - 20250131,Ahmedabad-Gandhinagar,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,4,836,743.13
20250101 - 20250131,Noida,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,5,750,664.8
20250101 - 20250131,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,5,995,727.11
20250101 - 20250131,Pune,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,2,1298,1038.4
20250101 - 20250131,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,51,8619,7586.02
20250101 - 20250131,Mangaluru,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,2,238,197.54
20250101 - 20250131,Chennai,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,13,2418,2176.6
20250101 - 20250131,Gurgaon,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,5,1045,913.42
20250101 - 20250131,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,49,9261,8465.04
20250101 - 20250131,Pune,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,1,168,151.12
20250101 - 20250131,Hyderabad Rural,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,1,199,187.06
20250101 - 20250131,Chennai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,15,1590,1367.4
20250101 - 20250131,Hyderabad,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,20,2380,1968.26
20250101 - 20250131,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,5,1045,923.87
20250101 - 20250131,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,3,567,500.67
20250101 - 20250131,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,10,1990,1721.35
20250101 - 20250131,Gurgaon,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,14,3216,2837.55
20250101 - 20250131,Ahmedabad-Gandhinagar,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,4,676,575.95
20250101 - 20250131,Gurgaon,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,14,1627,1387.3
20250101 - 20250131,Chennai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,9,954,799.24
20250101 - 20250131,Pune,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,3,558,527.35
20250101 - 20250131,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,325.01
20250101 - 20250131,Ahmedabad-Gandhinagar,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,12,2400,1966.56
